LECROYWS4104HD,18971,Waveform
Segments,1,SegmentSize,31252
Segment,TrigTime,TimeSinceSegment1
#1,24-Feb-2025 21:27:46,0                 
Time,Ampl
-2.998144e-006,-0.00478482
-2.982144e-006,-0.00243194
-2.966144e-006,-0.00243194
-2.950144e-006,-7.90567e-005
-2.934144e-006,0.00227382
-2.918144e-006,-0.00243194
-2.902144e-006,-0.00478482
-2.886144e-006,0.00697958
-2.870144e-006,-0.00243194
-2.854144e-006,0.0163911
-2.838144e-006,-0.00243194
-2.822144e-006,0.00933246
-2.806144e-006,-7.90567e-005
-2.790144e-006,0.00227382
-2.774144e-006,-7.90567e-005
-2.758144e-006,-0.00478482
-2.742144e-006,-0.00243194
-2.726144e-006,-7.90567e-005
-2.710144e-006,-0.00243194
-2.694144e-006,-7.90567e-005
-2.678144e-006,-7.90567e-005
-2.662144e-006,-0.00243194
-2.646144e-006,-7.90567e-005
-2.630144e-006,-7.90567e-005
-2.614144e-006,-0.00478482
-2.598144e-006,0.00933246
-2.582144e-006,-0.00478482
-2.566144e-006,0.0116853
-2.550144e-006,-7.90567e-005
-2.534144e-006,-0.00243194
-2.518144e-006,0.00227382
-2.502144e-006,-0.00478482
-2.486144e-006,-0.00243194
-2.470144e-006,0.00227382
-2.454144e-006,-0.00713769
-2.438144e-006,0.0140382
-2.422144e-006,0.00697958
-2.406144e-006,0.00933246
-2.390144e-006,0.00933246
-2.374144e-006,0.00697958
-2.358144e-006,-0.00243194
-2.342144e-006,0.00933246
-2.326144e-006,0.0046267
-2.310144e-006,-0.00243194
-2.294144e-006,-7.90567e-005
-2.278144e-006,-7.90567e-005
-2.262144e-006,-0.00478482
-2.246144e-006,0.00227382
-2.230144e-006,-7.90567e-005
-2.214144e-006,-0.00243194
-2.198144e-006,-0.00243194
-2.182144e-006,-0.00243194
-2.166144e-006,0.00933246
-2.150144e-006,0.00933246
-2.134144e-006,0.00227382
-2.118144e-006,-7.90567e-005
-2.102144e-006,-0.00478482
-2.086144e-006,0.00227382
-2.070144e-006,0.00227382
-2.054144e-006,0.0046267
-2.038144e-006,-7.90567e-005
-2.022144e-006,0.00227382
-2.006144e-006,0.00227382
-1.990144e-006,-7.90567e-005
-1.974144e-006,0.00227382
-1.958144e-006,-0.00243194
-1.942144e-006,-0.00243194
-1.926144e-006,-0.00243194
-1.910144e-006,0.00697958
-1.894144e-006,-0.00243194
-1.878144e-006,-7.90567e-005
-1.862144e-006,0.00697958
-1.846144e-006,-0.00243194
-1.830144e-006,0.00933246
-1.814144e-006,0.0046267
-1.798144e-006,-7.90567e-005
-1.782144e-006,-7.90567e-005
-1.766144e-006,0.00227382
-1.750144e-006,0.00227382
-1.734144e-006,0.0116853
-1.718144e-006,-0.00949057
-1.702144e-006,0.00933246
-1.686144e-006,-0.00243194
-1.670144e-006,-0.00243194
-1.654144e-006,-7.90567e-005
-1.638144e-006,0.0116853
-1.622144e-006,0.00227382
-1.606144e-006,-0.00478482
-1.590144e-006,-0.00478482
-1.574144e-006,-7.90567e-005
-1.558144e-006,-0.00243194
-1.542144e-006,-0.00243194
-1.526144e-006,-0.00478482
-1.510144e-006,0.00227382
-1.494144e-006,0.00227382
-1.478144e-006,0.00933246
-1.462144e-006,-0.00478482
-1.446144e-006,-7.90567e-005
-1.430144e-006,-0.00713769
-1.414144e-006,-7.90567e-005
-1.398144e-006,0.00227382
-1.382144e-006,0.00933246
-1.366144e-006,0.00697958
-1.350144e-006,0.00697958
-1.334144e-006,-0.00478482
-1.318144e-006,-7.90567e-005
-1.302144e-006,-0.00478482
-1.286144e-006,0.00933246
-1.270144e-006,0.00227382
-1.254144e-006,-0.00243194
-1.238144e-006,0.00227382
-1.222144e-006,-0.00478482
-1.206144e-006,-0.00243194
-1.190144e-006,-0.00243194
-1.174144e-006,0.0046267
-1.158144e-006,-7.90567e-005
-1.142144e-006,0.00697958
-1.126144e-006,-7.90567e-005
-1.110144e-006,0.00933246
-1.094144e-006,-7.90567e-005
-1.078144e-006,0.00933246
-1.062144e-006,-0.00243194
-1.046144e-006,0.00227382
-1.030144e-006,-0.00243194
-1.014144e-006,-7.90567e-005
-9.98144e-007,-0.00243194
-9.82144e-007,-0.00478482
-9.66144e-007,-7.90567e-005
-9.50144e-007,-0.00478482
-9.34144e-007,-0.00243194
-9.18144e-007,0.00227382
-9.02144e-007,0.0046267
-8.86144e-007,-7.90567e-005
-8.70144e-007,-0.00243194
-8.54144e-007,0.0046267
-8.38144e-007,0.00933246
-8.22144e-007,-0.00478482
-8.06144e-007,-0.00243194
-7.90144e-007,0.00227382
-7.74144e-007,0.00227382
-7.58144e-007,-7.90567e-005
-7.42144e-007,0.00227382
-7.26144e-007,0.00227382
-7.10144e-007,-7.90567e-005
-6.94144e-007,-0.00478482
-6.78144e-007,-0.00243194
-6.62144e-007,0.00227382
-6.46144e-007,0.00227382
-6.30144e-007,-7.90567e-005
-6.14144e-007,-0.00243194
-5.98144e-007,0.00227382
-5.82144e-007,0.00227382
-5.66144e-007,-0.00949057
-5.50144e-007,0.00933246
-5.34144e-007,-0.00243194
-5.18144e-007,-7.90567e-005
-5.02144e-007,0.00933246
-4.86144e-007,0.00933246
-4.70144e-007,0.00227382
-4.54144e-007,-0.00478482
-4.38144e-007,-0.00243194
-4.22144e-007,-0.00243194
-4.06144e-007,0.00933246
-3.90144e-007,-0.00243194
-3.74144e-007,0.00697958
