,3.12468491,0.00340000,0.01062393,
-0.11803900,6.15732816,0.00340000,0.02093492,0.01295486
-0.10627500,18.60631106,0.00340000,0.06326146,0.01331927
-0.09451050,3.46899854,0.00340000,0.01179460,0.00499752
-0.09451050,0.33290490,0.00340000,0.00113188,0.02299240
-0.10627500,-0.95475841,0.00340000,-0.00324618,0.01226245
-0.09451050,4.32556503,0.00340000,0.01470692,0.00418443
-0.09451050,8.37854773,0.00340000,0.02848706,0.01408683
-0.09451050,-9.99933771,0.00340000,-0.03399775,0.01182052
-0.08274610,0.88035623,0.00340000,0.00299321,0.01604289
-0.09451050,-4.90114131,0.00340000,-0.01666388,0.01562912
-0.10627500,-3.49371283,0.00350000,-0.01222799,0.01271385
-0.11803900,5.95068278,0.00340000,0.02023232,0.00279267
-0.09451050,7.79480835,0.00370000,0.02884079,0.00709027
-0.09451050,-8.01640660,0.00500000,-0.04008203,0.01713375
-0.09451050,-2.17521850,0.00340000,-0.00739574,0.01309942
-0.08274610,-2.74623200,0.00340000,-0.00933719,0.01899572
-0.08274610,15.14418996,0.00340000,0.05149025,0.01753817
0.00000000,7.99036261,0.00340000,0.02716723,
-0.07098170,5.13122944,0.00340000,0.01744618,0.01047574
-0.10627500,5.23118761,0.00340000,0.01778604,0.01107758
-0.10627500,6.58151855,0.00340000,0.02237716,0.01411509
-0.09451050,-0.02051950,0.00340000,-0.00006977,0.01258223
-0.08274610,1.27354251,0.00340000,0.00433004,0.01397402
-0.09451050,1.92253008,0.00340000,0.00653660,0.01728423
-0.10627500,-13.55167397,0.00340000,-0.04607569,0.01224369
-0.11803900,2.93172362,0.00340000,0.00996786,0.00316880
-0.09451050,16.00533307,0.00340000,0.05441813,0.00925318
-0.07098170,7.42349461,0.00340000,0.02523988,0.01273269
-0.10627500,-0.93692158,0.00340000,-0.00318553,0.00994906
-0.09451050,6.20059400,0.00340000,0.02108202,0.00675178
-0.07098170,-5.30888276,0.00340000,-0.01805020,0.01536583
-0.08274610,1.74700315,0.00340000,0.00593981,0.00893345
-0.10627500,8.70712964,0.00340000,0.02960424,0.00825641
-0.10627500,8.75359446,0.00330000,0.02888686,0.00421267
-0.09451050,8.63163597,0.00340000,0.02934756,0.00289608
-0.09451050,0.51521223,0.00330000,0.00170020,0.00352616
-0.10627500,-3.88007796,0.00340000,-0.01319227,0.00168298
-0.10627500,7.26860534,0.00330000,0.02398640,0.01237532
-0.10627500,3.23234400,0.00340000,0.01098997,0.00654486
-0.14156800,1.08591433,0.00340000,0.00369211,0.01190514
-0.09451050,-10.49109834,0.00340000,-0.03566973,0.01068261
-0.09451050,-1.47841863,0.00340000,-0.00502662,0.00963875
-0.09451050,-5.71969677,0.00340000,-0.01944697,0.00720314
-0.08274610,4.23062698,0.00340000,0.01438413,0.00600883
-0.08274610,1.05888085,0.00340000,0.00360019,0.00756053
-0.09451050,-3.38052702,0.00340000,-0.01149379,0.00834101
-0.09451050,-9.65473111,0.00330000,-0.03186061,0.00384588
-0.10627500,-12.43691899,0.00340000,-0.04228552,0.00553865
-0.08274610,-2.32108564,0.00340000,-0.00789169,0.01784844
-0.08274610,-0.45303578,0.00340000,-0.00154032,0.00655426
-0.07098170,-4.89076948,0.00340000,-0.01662862,0.01377654
-0.10627500,-5.27558274,0.00340000,-0.01793698,0.00341331
-0.09451050,3.46100746,0.00340000,0.01176743,0.01324992
-0.09451050,-0.65351980,0.00340000,-0.00222197,0.01215907
-0.08274610,8.23349999,0.00340000,0.02799390,0.00578317
-0.09451050,5.97282160,0.00330000,0.01971031,0.01073907
-0.09451050,0.84739538,0.00330000,0.00279640,0.00634740
-0.10627500,-0.77216650,0.00330000,-0.00254815,0.01595823
-0.11803900,5.37285846,0.00340000,0.01826772,0.00458881
-0.08274610,-0.00841625,0.00330000,-0.00002777,0.01324994
-0.10627500,7.06825272,0.00330000,0.02332523,0.00065797
-0.09451050,5.45221059,0.00340000,0.01853752,0.00800250
-0.10627500,-4.08154901,0.00330000,-0.01346911,0.00758871
-0.08274610,-0.09556754,0.00340000,-0.00032493,0.01152904
-0.09451050,-5.55887325,0.00340000,-0.01890017,0.01629680
-0.09451050,-5.55887325,0.00340000,-0.01890017,0.01266687
-0.09451050,-13.69155225,0.00330000,-0.04518212,0.01268565
-0.09451050,-3.48086602,0.00330000,-0.01148686,0.01178289
-0.09451050,2.04936793,0.00340000,0.00696785,0.00815296
-0.10627500,2.61358195,0.00340000,0.00888618,0.00413747
-0.09451050,-10.00211636,0.00330000,-0.03300698,0.00653545
-0.08274610,-3.56479451,0.00340000,-0.01212030,0.01451944
-0.09451050,-6.22304551,0.00340000,-0.02115835,0.01613693
-0.09451050,3.27838599,0.00330000,0.01081867,0.01403985
-0.11803900,-2.15623945,0.00340000,-0.00733121,0.00914974
-0.09451050,1.13044832,0.00340000,0.00384352,-0.00093127
-0.14156800,-5.25291517,0.00340000,-0.01785991,0.00748523
-0.08274610,6.67094246,0.00340000,0.02268120,0.00715610
-0.08274610,-6.91537359,0.00340000,-0.02351227,0.01162302
-0.09451050,-2.52755798,0.00340000,-0.00859370,0.01616515
-0.08274610,-11.09412112,0.00340000,-0.03772001,0.01586421
-0.10627500,1.52771984,0.00340000,0.00519425,0.00306537
-0.10627500,0.42143146,0.00340000,0.00143287,0.00687396
-0.08274610,8.23706827,0.00340000,0.02800603,0.01131271
-0.10627500,-3.44412486,0.00340000,-0.01171002,0.00710907
-0.09451050,-14.02578095,0.00340000,-0.04768766,0.00927200
-0.08274610,2.63192753,0.00340000,0.00894855,0.00888645
-0.10627500,4.24562969,0.00340000,0.01443514,0.00724075
-0.09451050,-1.34584091,0.00340000,-0.00457586,0.01230008
-0.09451050,-4.86203441,0.00350000,-0.01701712,0.00428787
-0.09451050,8.12841476,0.00370000,0.03007513,0.01051335
-0.09451050,-0.59081521,0.00350000,-0.00206785,0.00618745
-0.09451050,-9.79547542,0.00360000,-0.03526371,0.00733479
-0.09451050,-9.79547542,0.00350000,-0.03428416,0.02043465
-0.10627500,-7.36937815,0.00340000,-0.02505589,0.00265162
-0.10627500,-7.36937815,0.00350000,-0.02579282,0.00847266
-0.09451050,-10.83261646,0.00360000,-0.03899742,0.00907454
-0.08274610,6.18027627,0.00350000,0.02163097,0.01832810
-0.09451050,-2.62344488,0.00350000,-0.00918206,0.01731243
-0.09451050,5.96718053,0.00340000,0.02028841,0.01279852
-0.08274610,-5.10776886,0.00340000,-0.01736641,0.01344738
-0.10627500,-10.10580623,0.00350000,-0.03537032,0.00195572
-0.08274610,1.34586925,0.00340000,0.00457596,0.00984566
