Collector Max Voltage (mV),PicoScope ICT Charge,Enclosed,
-0.127135,81.05321434,1.04%,0.8429534292
,46.49151226,0.60%,0.2789490736
-1.84944,63.53524526,0.44%,0.2795550791
-1.10593,12.79905897,0.61%,0.07807425973
-1.12476,108.2356558,0.78%,0.8442381152
,,0.50%,0
,,0.33%,0
-0.84241,123.0646819,0.47%,0.5784040049
-0.797705,113.3899009,0.35%,0.396864653
-1.32946,79.28389411,0.51%,0.40434786
-1.96003,104.8903081,0.64%,0.6712979719
-1.04476,80.39130727,0.44%,0.353721752
-3.20235,30.77020846,0.78%,0.240007626
-1.96709,25.38780933,0.52%,0.1320166085
-1.2424,267.870695,0.69%,1.848307795
-2.40707,272.6310764,0.82%,2.235574826
-2.08238,236.6549953,0.73%,1.727581465
-1.53886,267.2407743,0.59%,1.576720568
-1.21416,245.784914,0.68%,1.671337415
-0.788294,239.9328095,0.39%,0.9357379571
-1.2424,289.2138753,0.72%,2.082339902
-1.33887,332.0473297,0.40%,1.328189319
-1.29887,268.388136,0.53%,1.422457121
-1.43534,313.2390322,0.52%,1.628842967
-1.33651,309.2140247,0.47%,1.453305916
-1.30593,244.0722767,0.57%,1.391211977
-1.76944,322.0017475,0.49%,1.577808563
-1.47298,267.0511515,0.54%,1.442076218
-1.00476,293.9583102,0.53%,1.557979044
-1.14358,286.5152542,0.48%,1.37527322
-2.11061,24.81675114,2.30%,0.5707852762
-2.4706,211.459711,1.27%,2.68553833
-1.83532,60.81356732,1.40%,0.8513899425
-1.98356,32.53153941,1.56%,0.5074920148
-1.72239,188.8320751,1.13%,2.133802449
-1.61651,195.2113526,0.86%,1.678817632
-4.27291,362.649279,1.06%,3.844082357
-1.89885,206.8023029,0.99%,2.047342798
-2.27296,291.9702418,0.81%,2.364958958
-2.48707,254.6917162,1.01%,2.572386334
-1.39534,202.1007178,0.75%,1.515755384
-4.65643,187.3833384,1.04%,1.948786719
-2.09179,291.5758499,0.50%,1.45787925
-1.19534,302.6002309,0.35%,1.059100808
-3.16235,216.587437,0.85%,1.840993215
-1.62592,325.2667284,0.54%,1.756440334
-0.96476,80.72541978,0.82%,0.6619484422
-0.872997,102.6660489,0.65%,0.6673293181
-1.45651,213.0431414,0.60%,1.278258849
-3.8541,326.3291266,0.66%,2.153772235
-2.46119,255.7565706,0.81%,2.071628222
-3.72704,260.0424267,0.88%,2.288373355
-0.948289,285.2833364,0.41%,1.169661679
-1.13417,253.9962306,0.44%,1.117583415
-2.37413,231.6035794,0.63%,1.45910255
-2.5059,242.6222494,0.74%,1.795404646
-1.36004,235.4332965,0.41%,0.9652765157
-3.94115,376.8201988,0.75%,2.826151491
-2.58119,9.768750316,1.88%,0.1836525059
-4.14115,196.6796356,0.86%,1.691444866
-0.0683126,75.94339984,0.39%,0.2961792594
-2.01179,203.7112661,0.99%,2.016741534
-1.72239,138.8463602,0.93%,1.29127115
-1.2871,-53.36206809,3.28%,-1.750275833
-1.64709,157.5190876,0.83%,1.307408427
-1.41416,114.0848237,1.23%,1.403243331
-3.46352,326.203059,0.74%,2.413902637
-1.60945,115.1661577,0.75%,0.8637461827
-2.86824,183.1576242,1.11%,2.033049629
-2.16002,232.6969224,0.78%,1.815035994
-2.0612,301.7513206,0.67%,2.021733848
-1.89179,277.0043892,0.53%,1.468123263
-1.33181,277.0043892,0.41%,1.135717996
-2.24473,-61.53102816,0.96%,-0.5906978703
-1.13887,233.8552048,0.47%,1.099119463
-2.33649,250.8582003,0.52%,1.304462641
-2.25178,155.5877742,1.09%,1.695906739
-1.13887,300.2760369,0.60%,1.801656221
-2.22355,223.6373507,0.91%,2.035099891
-2.17414,211.7143026,0.98%,2.074800166
-2.08002,218.6230948,0.82%,1.792709377
-1.56474,297.7719886,0.65%,1.935517926
-3.77174,297.7719886,1.08%,3.215937477
-0.614181,68.7027511,0.49%,0.3366434804
-0.0447838,55.26816472,0.39%,0.2155458424
-0.0236078,14.96713504,0.36%,0.05388168613
-1.76474,9.594481895,1.30%,0.1247282646
-1.7365,-22.64865316,1.19%,-0.2695189726
-7.8187,114.0362347,0.64%,0.7298319022
-0.562417,59.20082922,0.58%,0.3433648095
-0.915349,119.1271357,0.83%,0.9887552263
-1.9765,40.47876277,0.97%,0.3926439988
-1.83532,222.4547164,0.74%,1.646164901
-1.47063,182.615578,0.92%,1.680063318
-1.50592,241.9350288,0.84%,2.032254242
-3.75057,39.0886719,0.48%,0.1876256251
-7.1293,115.9158754,1.72%,1.993753056
-0.211838,89.19219073,2.15%,1.917632101
-1.52004,10.37314294,1.43%,0.148335944
-1.36945,122.5175986,0.91%,1.114910147
-1.84238,113.7914714,1.03%,1.172052156
-2.6353,156.10483,0.72%,1.123954776
-2.02591,323.833612,0.95%,3.076419314
-1.10829,180.590614,0.86%,1.553079281
-1.29887,213.1051003,0.51%,1.086836011
-2.02356,274.278718,0.60%,1.645672308
-0.790646,62.83883606,0.36%,0.2262198098
-1.27063,-43.81475693,1.56%,-0.6835102081
-0.0659597,28.48294591,0.40%,0.1139317836
-2.26355,-51.72265982,0.97%,-0.5017098002
-2.13885,63.12235718,0.86%,0.5428522718
-2.2212,146.7884837,0.98%,1.438527141
-3.38117,31.65088323,1.33%,0.4209567469
-7.8187,67.22005384,1.42%,0.9545247646
-0.788294,-48.03802672,1.47%,-0.7061589928
-1.61651,150.021837,1.00%,1.50021837
-1.46828,130.5630642,1.00%,1.305630642
-1.16946,-72.72237501,1.03%,-0.7490404626
-1.12005,180.3089281,1.03%,1.857181959
-7.8187,-35.182341,0.51%,-0.1794299391
-1.57886,91.14848291,2.55%,2.324286314
-4.28232,49.63118316,0.25%,0.1240779579
-1.0777,62.27054594,0.93%,0.5791160773
-2.74118,118.6380446,1.07%,1.269427077
-7.8187,-5.763460465,0.43%,-0.02478288
-0.776529,81.20343034,1.73%,1.404819345
-0.583672,45.27644524,0.87%,0.3939050736
-1.12954,116.5596445,1.27%,1.480307485
-0.818881,114.9995359,0.86%,0.9889960087
-1.36004,123.6254854,1.22%,1.508230922
-5.24229,247.6926118,1.22%,3.021849864
-2.96471,240.4617543,1.35%,3.246233683
-1.52945,150.0419861,1.15%,1.725482841
-1.8965,185.8463017,0.81%,1.505355044
-0.0236078,24.42248868,0.37%,0.09036320812
-0.0518424,59.81790565,0.38%,0.2273080415
-1.16005,48.96971997,0.40%,0.1958788799
-1.89885,277.6646586,1.29%,3.581874096
-1.04476,37.98865883,1.27%,0.4824559671
-1.34122,1.490031831,0.94%,0.01400629921
-2.62589,222.4037738,1.26%,2.80228755
-0.753,-37.9939844,1.38%,-0.5243169848
-1.46122,90.07136686,1.39%,1.251991999
-1.52004,208.937753,1.00%,2.08937753
-0.971818,97.97183985,0.67%,0.656411327
-2.47296,288.1737344,0.52%,1.498503419
-2.08238,308.3598753,0.61%,1.880995239
-3.95527,251.6624186,1.11%,2.793452846
-0.0236078,30.91571383,0.36%,0.1112965698
-0.171839,38.49387686,0.32%,0.1231804059
-0.0518424,39.88048075,0.39%,0.1555338749
