-0.00041628,137.02786975,0.00760000,1.04141181,-0.08658347
-0.41643300,341.92765815,0.00480000,1.64125276,-1.13515719
-0.40231600,23.56472267,0.00730000,0.17202248,-0.06125870
-1.79776000,262.22926644,0.00400000,1.04891707,-0.88925286
-0.00048098,247.84075826,0.00750000,1.85880569,-2.35421166
-0.40466900,285.51941813,0.00730000,2.08429175,-5.20452364
-1.52953000,266.36285469,0.00620000,1.65144970,-0.08223182
-0.00048392,243.94128052,0.00800000,1.95153024,-0.72786777
-0.00027510,161.13646297,0.00770000,1.24075076,-0.11092433
-0.39996300,229.22040268,0.00490000,1.12317997,-0.05289437
-0.40466900,326.92847287,0.00700000,2.28849931,-0.47241221
-0.40466900,92.43134824,0.00860000,0.79490959,-0.04782317
-0.00051039,182.25603382,0.00750000,1.36692025,-0.07105992
-0.00050745,299.88131809,0.00790000,2.36906241,-0.95425966
-0.00036922,335.15429459,0.00300000,1.00546288,-0.06845692
-0.00054274,343.83766652,0.00770000,2.64755003,-3.38972882
-0.40466900,196.01654286,0.00380000,0.74486286,-0.04533797
-1.36012000,178.54312152,0.01130000,2.01753727,-0.05666727
-0.00040745,344.30640282,0.00820000,2.82331250,-3.50937925
-0.39761000,350.99608612,0.00760000,2.66757025,-1.93587513
-3.70830000,341.05904015,0.00900000,3.06953136,-3.01367891
-3.63771000,357.17761413,0.00620000,2.21450121,-2.97180226
-0.42113900,392.10559244,0.00830000,3.25447642,-4.03169746
-0.10839100,26.58762003,0.00500000,0.13293810,-0.01702306
-0.41643300,406.87261821,0.00410000,1.66817773,-0.20318175
-0.00044569,210.82806150,0.00950000,2.00286658,-0.08093373
-0.40231600,284.53185913,0.00600000,1.70719115,-0.33980682
-4.54592000,369.59186618,0.00920000,3.40024517,-3.70654348
-1.47777000,359.80703248,0.00450000,1.61913165,-0.18258299
-0.40231600,371.64743949,0.00400000,1.48658976,-0.59450244
-0.00028393,288.08735392,0.00720000,2.07422895,-1.35280778
-2.53186000,294.12197000,0.00620000,1.82355621,-1.46003320
-0.00033098,84.41667880,0.00550000,0.46429173,-0.03423946
-0.41172800,138.54900396,0.00990000,1.37163514,-0.04943185
-0.39761000,311.28899873,0.00780000,2.42805419,-2.40454764
-0.00046333,309.89196450,0.00750000,2.32418973,-0.32256020
-0.00041628,344.22666610,0.00570000,1.96209200,-1.28227142
-0.00053686,311.09842185,0.00910000,2.83099564,-2.33135349
-0.00043392,206.44420749,0.01360000,2.80764122,-4.24668027
-0.00048980,334.67382333,0.00590000,1.97457556,-0.39328054
-0.41408000,338.83293304,0.00850000,2.88007993,-3.58891289
-1.59541000,331.73817944,0.00490000,1.62551708,-0.06999940
-1.77893000,200.29396514,0.00630000,1.26185198,-0.22879770
-0.40702200,204.53427571,0.00720000,1.47264679,-0.07780078
-0.79543100,282.52802067,0.00310000,0.87583686,-0.04547376
-0.00042510,354.62774308,0.00440000,1.56036207,-1.37802976
-0.40702200,346.92072872,0.00650000,2.25498474,-0.77760379
-0.41408000,333.97140026,0.00750000,2.50478550,-0.66156507
-0.39761000,198.75462466,0.00470000,0.93414674,-0.03875070
-0.00044275,283.09485741,0.00750000,2.12321143,-1.29006679
-0.40702200,263.46130283,0.01010000,2.66095916,-2.81005520
-0.00042510,89.95002244,0.01700000,1.52915038,-0.02479622
-1.60953000,349.85810432,0.00430000,1.50438985,-0.26924446
-0.00045745,332.78534509,0.00630000,2.09654767,-0.86760259
-0.40937500,196.16065945,0.01050000,2.05968692,-0.20367371
-0.00041628,197.92164264,0.00670000,1.32607501,-0.04217863
-0.41172800,51.70414063,0.01400000,0.72385797,-0.02619330
