Time,Channel B
(ns),(mV)

-100.99999470,-9.64382400
-100.49999472,-9.74101800
-99.99999473,-9.90342000
-99.49999474,-10.11934000
-98.99999476,-10.17163000
-98.49999477,-10.05290000
-97.99999479,-9.94279000
-97.49999480,-9.84559500
-96.99999481,-9.79884200
-96.49999483,-9.82098900
-95.99999484,-9.76562400
-95.49999486,-9.63582600
-94.99999487,-9.68811500
-94.49999488,-9.91510800
-93.99999490,-10.02215000
-93.49999491,-10.00062000
-92.99999493,-9.99753900
-92.49999494,-10.00861000
-91.99999496,-9.95386200
-91.49999497,-9.83452200
-90.99999498,-9.84313500
-90.49999500,-9.99446300
-89.99999501,-9.89050200
-89.49999503,-9.54416800
-88.99999504,-9.43466900
-88.49999505,-9.56446800
-87.99999507,-9.67396600
-87.49999508,-9.76070300
-86.99999510,-9.86220500
-86.49999511,-9.95939900
-85.99999513,-10.01169000
-85.49999514,-10.01169000
-84.99999515,-9.95386200
-84.49999517,-9.83452200
-83.99999518,-9.83759800
-83.49999520,-9.96739700
-82.99999521,-9.96739700
-82.49999522,-9.83759800
-81.99999524,-9.83759800
-81.49999525,-9.96739700
-80.99999527,-9.97047100
-80.49999528,-9.85113100
-79.99999529,-9.79330700
-79.49999531,-9.79330700
-78.99999532,-9.85113100
-78.49999534,-9.97047100
-77.99999535,-9.97047100
-77.49999537,-9.85113100
-76.99999538,-9.79638200
-76.49999539,-9.80745600
-75.99999541,-9.81237700
-75.49999542,-9.82344900
-74.99999544,-9.76870100
-74.49999545,-9.64936000
-73.99999546,-9.64689900
-73.49999548,-9.75516700
-72.99999549,-9.85912800
-72.49999551,-9.94586600
-71.99999552,-10.04983000
-71.49999554,-10.15810000
-70.99999555,-10.15810000
-70.49999556,-10.04983000
-69.99999558,-9.94279000
-69.49999559,-9.84559500
-68.99999561,-9.79330700
-68.49999562,-9.79330700
-67.99999563,-9.84867000
-67.49999565,-9.95632300
-66.99999566,-10.01169000
-66.49999568,-10.01169000
-65.99999569,-9.95386200
-65.49999571,-9.83452200
-64.99999572,-9.83452200
-64.49999573,-9.95386200
-63.99999575,-10.00861000
-63.49999576,-9.99753900
-62.99999578,-10.00062000
-62.49999579,-10.02215000
-61.99999580,-9.91510800
-61.49999582,-9.68811500
-60.99999583,-9.63336600
-60.49999585,-9.75209100
-59.99999586,-9.86466500
-59.49999587,-9.97293300
-58.99999589,-9.97047100
-58.49999590,-9.85113100
-57.99999592,-9.79330700
