Time,Channel B
(ns),(mV)

-100.99999470,-9.82652600
-100.49999472,-9.82652600
-99.99999473,-9.77423700
-99.49999474,-9.67704200
-98.99999476,-9.57246500
-98.49999477,-9.47527000
-97.99999479,-9.42298100
-97.49999480,-9.42298100
-96.99999481,-9.47280900
-96.49999483,-9.55893100
-95.99999484,-9.71825700
-95.49999486,-9.93417800
-94.99999487,-9.98092900
-94.49999488,-9.84005800
-93.99999490,-9.83452200
-93.49999491,-9.95386200
-92.99999493,-10.01169000
-92.49999494,-10.01169000
-91.99999496,-9.95632300
-91.49999497,-9.84867000
-90.99999498,-9.79330700
-90.49999500,-9.79330700
-89.99999501,-9.84867000
-89.49999503,-9.95632300
-88.99999504,-10.00861000
-88.49999505,-9.99753900
-87.99999507,-9.99753900
-87.49999508,-10.00861000
-86.99999510,-9.95386200
-86.49999511,-9.83452200
-85.99999513,-9.83206100
-85.49999514,-9.94033000
-84.99999515,-10.04983000
-84.49999517,-10.15810000
-83.99999518,-10.16117000
-83.49999520,-10.06398000
-82.99999521,-9.90157400
-82.49999522,-9.68565500
-81.99999524,-9.63582600
-81.49999525,-9.76562400
-80.99999527,-9.82098900
-80.49999528,-9.79884200
-79.99999529,-9.85420700
-79.49999531,-9.98400600
-78.99999532,-9.92864100
-78.49999534,-9.69119100
-77.99999535,-9.63336600
-77.49999537,-9.75209100
-76.99999538,-9.86774200
-76.49999539,-9.98646600
-75.99999541,-9.92618100
-75.49999542,-9.67704200
-74.99999544,-9.67458200
-74.49999545,-9.91264700
-73.99999546,-10.01968000
-73.49999548,-9.98708100
-72.99999549,-10.03629000
-72.49999551,-10.15563000
-71.99999552,-10.15810000
-71.49999554,-10.04983000
-70.99999555,-9.94279000
-70.49999556,-9.84559500
-69.99999558,-9.79084600
-69.49999559,-9.77977300
-68.99999561,-9.88988600
-68.49999562,-10.11688000
-67.99999563,-10.17163000
-67.49999565,-10.05290000
-66.99999566,-9.94033000
-66.49999568,-9.83206100
-65.99999569,-9.84005800
-65.49999571,-9.98092900
-64.99999572,-9.92864100
-64.49999573,-9.69119100
-63.99999575,-9.64136300
-63.49999576,-9.79330700
-62.99999578,-9.74347900
-62.49999579,-9.50602800
-61.99999580,-9.44512700
-61.49999582,-9.55339500
-60.99999583,-9.71825700
-60.49999585,-9.93417800
-59.99999586,-9.98954200
-59.49999587,-9.88127400
-58.99999589,-9.71333600
-58.49999590,-9.48634300
-57.99999592,-9.48634300
