Time,Channel B
(ns),(mV)

-100.99999470,-9.81237700
-100.49999472,-9.82344900
-99.99999473,-9.77423700
-99.49999474,-9.67704200
-98.99999476,-9.56446800
-98.49999477,-9.43466900
-97.99999479,-9.54170700
-97.49999480,-9.87696700
-96.99999481,-10.03629000
-96.49999483,-10.00308000
-95.99999484,-9.99753900
-95.49999486,-10.00861000
-94.99999487,-9.95939900
-94.49999488,-9.86220500
-93.99999490,-9.75516700
-93.49999491,-9.64689900
-92.99999493,-9.65243500
-92.49999494,-9.78223300
-91.99999496,-9.78223300
-91.49999497,-9.65243500
-90.99999498,-9.64689900
-90.49999500,-9.75516700
-89.99999501,-9.86774200
-89.49999503,-9.98646600
-88.99999504,-9.93171700
-88.49999505,-9.70472400
-87.99999507,-9.59461100
-87.49999508,-9.60568300
-86.99999510,-9.66043300
-86.49999511,-9.75762700
-85.99999513,-9.86220500
-85.49999514,-9.95939900
-84.99999515,-10.01415000
-84.49999517,-10.02522000
-83.99999518,-9.91510800
-83.49999520,-9.68811500
-82.99999521,-9.63582600
-82.49999522,-9.76562400
-81.99999524,-9.82344900
-81.49999525,-9.81237700
-80.99999527,-9.80745600
-80.49999528,-9.79638200
-79.99999529,-9.85420700
-79.49999531,-9.98400600
-78.99999532,-9.93171700
-78.49999534,-9.70472400
-77.99999535,-9.59215000
-77.49999537,-9.59215000
-76.99999538,-9.70718500
-76.49999539,-9.94525100
-75.99999541,-9.94279000
-75.49999542,-9.69365100
-74.99999544,-9.63336600
-74.49999545,-9.75209100
-73.99999546,-9.86466500
-73.49999548,-9.97293300
-72.99999549,-9.97293300
-72.49999551,-9.86466500
-71.99999552,-9.75209100
-71.49999554,-9.63336600
-70.99999555,-9.68811500
-70.49999556,-9.91510800
-69.99999558,-10.02522000
-69.49999559,-10.01415000
-68.99999561,-9.95939900
-68.49999562,-9.86220500
-67.99999563,-9.75516700
-67.49999565,-9.64689900
-66.99999566,-9.64689900
-66.49999568,-9.75516700
-65.99999569,-9.86774200
-65.49999571,-9.98646600
-64.99999572,-9.92864100
-64.49999573,-9.69119100
-63.99999575,-9.63582600
-63.49999576,-9.76562400
-62.99999578,-9.82652600
-62.49999579,-9.82652600
-61.99999580,-9.76562400
-61.49999582,-9.63582600
-60.99999583,-9.69119100
-60.49999585,-9.92864100
-59.99999586,-9.98400600
-59.49999587,-9.85420700
-58.99999589,-9.79084600
-58.49999590,-9.77977300
-57.99999592,-9.88988600
