Time,Channel B
(ns),(mV)

-100.99999470,-9.91818300
-100.49999472,-9.70164800
-99.99999473,-9.59215000
-99.49999474,-9.59215000
-98.99999476,-9.70718500
-98.49999477,-9.94525100
-97.99999479,-9.94525100
-97.49999480,-9.70718500
-96.99999481,-9.59215000
-96.49999483,-9.59215000
-95.99999484,-9.70472400
-95.49999486,-9.93171700
-94.99999487,-9.98092900
-94.49999488,-9.84005800
-93.99999490,-9.83452200
-93.49999491,-9.95386200
-92.99999493,-10.01169000
-92.49999494,-10.01169000
-91.99999496,-9.95386200
-91.49999497,-9.83452200
-90.99999498,-9.84005800
-90.49999500,-9.98092900
-89.99999501,-9.93171700
-89.49999503,-9.70472400
-88.99999504,-9.59768700
-88.49999505,-9.61921700
-87.99999507,-9.62229300
-87.49999508,-9.61122000
-86.99999510,-9.66350800
-86.49999511,-9.77116100
-85.99999513,-9.82652600
-85.49999514,-9.82652600
-84.99999515,-9.76870100
-84.49999517,-9.64936000
-83.99999518,-9.64689900
-83.49999520,-9.75516700
-82.99999521,-9.86466500
-82.49999522,-9.97293300
-81.99999524,-9.97600800
-81.49999525,-9.87881400
-80.99999527,-9.71333600
-80.49999528,-9.48634300
-79.99999529,-9.48941900
-79.49999531,-9.72748500
-78.99999532,-9.83698400
-78.49999534,-9.81545200
-77.99999535,-9.80991600
-77.49999537,-9.80991600
-76.99999538,-9.80991600
-76.49999539,-9.80991600
-75.99999541,-9.80745600
-75.49999542,-9.79638200
-74.99999544,-9.85113100
-74.49999545,-9.97047100
-73.99999546,-9.97047100
-73.49999548,-9.85113100
-72.99999549,-9.79884200
-72.49999551,-9.82098900
-71.99999552,-9.77116100
-71.49999554,-9.66350800
-70.99999555,-9.60568300
-70.49999556,-9.59461100
-69.99999558,-9.70472400
-69.49999559,-9.93171700
-68.99999561,-9.98092900
-68.49999562,-9.84005800
-67.99999563,-9.83206100
-67.49999565,-9.94033000
-66.99999566,-10.04983000
-66.49999568,-10.15810000
-65.99999569,-10.16117000
-65.49999571,-10.06398000
-64.99999572,-9.90403500
-64.49999573,-9.69918700
-63.99999575,-9.59215000
-63.49999576,-9.59215000
-62.99999578,-9.69918700
-62.49999579,-9.90403500
-61.99999580,-10.06951000
-61.49999582,-10.18824000
-60.99999583,-10.07566000
-60.49999585,-9.72933000
-59.99999586,-9.61983200
-59.49999587,-9.74963100
-58.99999589,-9.86220500
-58.49999590,-9.95939900
-57.99999592,-10.01169000
