Time,Channel B
(ns),(mV)

-100.99999470,-9.79330700
-100.49999472,-9.79330700
-99.99999473,-9.84867000
-99.49999474,-9.95632300
-98.99999476,-10.00861000
-98.49999477,-9.99753900
-97.99999479,-9.99753900
-97.49999480,-10.00861000
-96.99999481,-9.95939900
-96.49999483,-9.86220500
-95.99999484,-9.75209100
-95.49999486,-9.63336600
-94.99999487,-9.69119100
-94.49999488,-9.92864100
-93.99999490,-9.98092900
-93.49999491,-9.84005800
-92.99999493,-9.83452200
-92.49999494,-9.95386200
-91.99999496,-10.01169000
-91.49999497,-10.01169000
-90.99999498,-9.95386200
-90.49999500,-9.83452200
-89.99999501,-9.83452200
-89.49999503,-9.95386200
-88.99999504,-10.00861000
-88.49999505,-9.99753900
-87.99999507,-9.99753900
-87.49999508,-10.00861000
-86.99999510,-9.95632300
-86.49999511,-9.84867000
-85.99999513,-9.79330700
-85.49999514,-9.79330700
-84.99999515,-9.85113100
-84.49999517,-9.97047100
-83.99999518,-9.96739700
-83.49999520,-9.83759800
-82.99999521,-9.83759800
-82.49999522,-9.96739700
-81.99999524,-9.97293300
-81.49999525,-9.86466500
-80.99999527,-9.75762700
-80.49999528,-9.66043300
-79.99999529,-9.60814500
-79.49999531,-9.60814500
-78.99999532,-9.66596900
-78.49999534,-9.78531000
-77.99999535,-9.77977300
-77.49999537,-9.63890200
-76.99999538,-9.68811500
-76.49999539,-9.91510800
-75.99999541,-10.02215000
-75.49999542,-10.00062000
-74.99999544,-9.99261800
-74.49999545,-9.98154500
-73.99999546,-10.03629000
-73.49999548,-10.15563000
-72.99999549,-10.15810000
-72.49999551,-10.04983000
-71.99999552,-9.94279000
-71.49999554,-9.84559500
-70.99999555,-9.80191900
-70.49999556,-9.83452200
-69.99999558,-9.72748500
-69.49999559,-9.48941900
-68.99999561,-9.48388300
-68.49999562,-9.69980200
-67.99999563,-9.91695300
-67.49999565,-10.12242000
-66.99999566,-10.16917000
-66.49999568,-10.03937000
-65.99999569,-9.98708100
-65.49999571,-10.01968000
-64.99999572,-9.91510800
-64.49999573,-9.68811500
-63.99999575,-9.63336600
-63.49999576,-9.75209100
-62.99999578,-9.87020200
-62.49999579,-9.99999900
-61.99999580,-9.88496500
-61.49999582,-9.51710100
-60.99999583,-9.51402500
-60.49999585,-9.87143200
-59.99999586,-10.03629000
-59.49999587,-10.00308000
-58.99999589,-9.99507800
-58.49999590,-9.99507800
-57.99999592,-9.99753900
