Time,Channel B
(ns),(mV)

-100.99999470,-9.75516700
-100.49999472,-9.64689900
-99.99999473,-9.64689900
-99.49999474,-9.75516700
-98.99999476,-9.86466500
-98.49999477,-9.97293300
-97.99999479,-9.97047100
-97.49999480,-9.85113100
-96.99999481,-9.79330700
-96.49999483,-9.79330700
-95.99999484,-9.84867000
-95.49999486,-9.95632300
-94.99999487,-10.01169000
-94.49999488,-10.01169000
-93.99999490,-9.95632300
-93.49999491,-9.84867000
-92.99999493,-9.79330700
-92.49999494,-9.79330700
-91.99999496,-9.84867000
-91.49999497,-9.95632300
-90.99999498,-10.01415000
-90.49999500,-10.02522000
-89.99999501,-9.91510800
-89.49999503,-9.68811500
-88.99999504,-9.63029000
-88.49999505,-9.73855800
-87.99999507,-9.90342000
-87.49999508,-10.11934000
-86.99999510,-10.16917000
-86.49999511,-10.03937000
-85.99999513,-9.98154500
-85.49999514,-9.99261800
-84.99999515,-9.99507800
-84.49999517,-9.99507800
-83.99999518,-9.99507800
-83.49999520,-9.99507800
-82.99999521,-9.99753900
-82.49999522,-10.00861000
-81.99999524,-9.95632300
-81.49999525,-9.84867000
-80.99999527,-9.79330700
-80.49999528,-9.79330700
-79.99999529,-9.84867000
-79.49999531,-9.95632300
-78.99999532,-10.01169000
-78.49999534,-10.01169000
-77.99999535,-9.95386200
-77.49999537,-9.83452200
-76.99999538,-9.83452200
-76.49999539,-9.95386200
-75.99999541,-10.00861000
-75.49999542,-9.99753900
-74.99999544,-10.00062000
-74.49999545,-10.02215000
-73.99999546,-9.91818300
-73.49999548,-9.70164800
-72.99999549,-9.59215000
-72.49999551,-9.59215000
-71.99999552,-9.70164800
-71.49999554,-9.91818300
-70.99999555,-10.02522000
-70.49999556,-10.01415000
-69.99999558,-9.95632300
-69.49999559,-9.84867000
-68.99999561,-9.79330700
-68.49999562,-9.79330700
-67.99999563,-9.84867000
-67.49999565,-9.95632300
-66.99999566,-10.01415000
-66.49999568,-10.02522000
-65.99999569,-9.91510800
-65.49999571,-9.68811500
-64.99999572,-9.63336600
-64.49999573,-9.75209100
-63.99999575,-9.86220500
-63.49999576,-9.95939900
-62.99999578,-10.01415000
-62.49999579,-10.02522000
-61.99999580,-9.91264700
-61.49999582,-9.67458200
-60.99999583,-9.67150600
-60.49999585,-9.89849900
-59.99999586,-10.06644000
-59.49999587,-10.17470000
-58.99999589,-10.12242000
-58.49999590,-9.91695300
-57.99999592,-9.70287800
