Time,Channel B
(ns),(mV)

-100.99999470,-9.84005800
-100.49999472,-9.98092900
-99.99999473,-9.93171700
-99.49999474,-9.70472400
-98.99999476,-9.59215000
-98.49999477,-9.59215000
-97.99999479,-9.70718500
-97.49999480,-9.94525100
-96.99999481,-9.94279000
-96.49999483,-9.69365100
-95.99999484,-9.63336600
-95.49999486,-9.75209100
-94.99999487,-9.86220500
-94.49999488,-9.95939900
-93.99999490,-10.00861000
-93.49999491,-9.99753900
-92.99999493,-9.99753900
-92.49999494,-10.00861000
-91.99999496,-9.95078800
-91.49999497,-9.82098900
-90.99999498,-9.87635300
-90.49999500,-10.11380000
-89.99999501,-10.17470000
-89.49999503,-10.06644000
-88.99999504,-9.90157400
-88.49999505,-9.68565500
-87.99999507,-9.63336600
-87.49999508,-9.75209100
-86.99999510,-9.86220500
-86.49999511,-9.95939900
-85.99999513,-10.00861000
-85.49999514,-9.99753900
-84.99999515,-9.99753900
-84.49999517,-10.00861000
-83.99999518,-9.95386200
-83.49999520,-9.83452200
-82.99999521,-9.83452200
-82.49999522,-9.95386200
-81.99999524,-10.01415000
-81.49999525,-10.02522000
-80.99999527,-9.91510800
-80.49999528,-9.68811500
-79.99999529,-9.63336600
-79.49999531,-9.75209100
-78.99999532,-9.86466500
-78.49999534,-9.97293300
-77.99999535,-9.97600800
-77.49999537,-9.87881400
-76.99999538,-9.71333600
-76.49999539,-9.48634300
-75.99999541,-9.48634300
-75.49999542,-9.71333600
-74.99999544,-9.87573700
-74.49999545,-9.96186000
-73.99999546,-10.01415000
-73.49999548,-10.02522000
-72.99999549,-9.91818300
-72.49999551,-9.70164800
-71.99999552,-9.59215000
-71.49999554,-9.59215000
-70.99999555,-9.70164800
-70.49999556,-9.91818300
-69.99999558,-10.02768000
-69.49999559,-10.02768000
-68.99999561,-9.91818300
-68.49999562,-9.70164800
-67.99999563,-9.59768700
-67.49999565,-9.61921700
-66.99999566,-9.61921700
-66.49999568,-9.59768700
-65.99999569,-9.70718500
-65.49999571,-9.94525100
-64.99999572,-9.94279000
-64.49999573,-9.69365100
-63.99999575,-9.63890200
-63.49999576,-9.77977300
-62.99999578,-9.77977300
-62.49999579,-9.63890200
-61.99999580,-9.69119100
-61.49999582,-9.92864100
-60.99999583,-9.98400600
-60.49999585,-9.85420700
-59.99999586,-9.79330700
-59.49999587,-9.79330700
-58.99999589,-9.84867000
-58.49999590,-9.95632300
-57.99999592,-10.01169000
