Time,Voltage
(ns),(mV)

0,-0.518578
2,-0.864296
4,-0.864296
6,-0.864296
8,-0.864296
10,-1.03716
12,-1.03716
14,-0.864296
16,-0.691437
18,-0.864296
20,-0.864296
22,-0.864296
24,-0.691437
26,-1.21001
28,-0.864296
30,-0.864296
32,-0.691437
34,-0.864296
36,-1.03716
38,-0.864296
40,-0.864296
42,-0.864296
44,-0.864296
46,-1.03716
48,-0.691437
50,-1.03716
52,-1.03716
54,-1.03716
56,-0.864296
58,-0.864296
60,-1.03716
62,-0.864296
64,-0.691437
66,-0.864296
68,-0.691437
70,-0.864296
72,-0.864296
74,-1.03716
76,-0.864296
78,-0.691437
80,-0.691437
82,-1.21001
84,-1.03716
86,-1.03716
88,-1.03716
90,-1.21001
92,-0.864296
94,-0.864296
96,-1.03716
98,-0.864296
100,-0.864296
102,-0.864296
104,-0.691437
106,-1.21001
108,-0.691437
110,-0.864296
112,-0.864296
114,-0.864296
116,-0.864296
118,-0.864296
120,-0.864296
122,-1.03716
124,-0.864296
126,-0.864296
128,-1.03716
130,-0.864296
132,-0.864296
134,-1.03716
136,-0.864296
138,-0.864296
140,-0.691437
142,-0.691437
144,-0.691437
146,-0.864296
148,-0.864296
150,-0.864296
152,-0.691437
154,-1.03716
156,-0.691437
158,-0.864296
160,-0.864296
162,-0.691437
164,-1.21001
166,-0.864296
168,-0.691437
170,-1.21001
172,-1.03716
174,-0.864296
176,-0.691437
178,-0.864296
180,-1.21001
182,-0.864296
184,-0.864296
186,-0.864296
188,-1.03716
190,-1.03716
192,-0.864296
194,-0.864296
196,-0.864296
198,-0.864296
200,-0.518578
202,-0.864296
204,-0.691437
206,-1.03716
208,-0.864296
210,-0.691437
212,-1.03716
214,-0.864296
216,-0.691437
218,-1.03716
220,-1.03716
222,-0.691437
224,-0.691437
226,-0.864296
228,-0.691437
230,-0.691437
232,-0.691437
234,-1.03716
236,-1.03716
238,-0.864296
240,-0.691437
242,-0.864296
244,-1.03716
246,-0.864296
248,-1.03716
250,-1.03716
252,-0.864296
254,-0.864296
256,-1.03716
258,-0.864296
260,-1.03716
262,-0.864296
264,-1.03716
266,-1.03716
268,-1.03716
270,-0.864296
272,-0.691437
274,-0.864296
276,-0.864296
278,-0.864296
280,-1.03716
282,-1.03716
284,-0.864296
286,-0.864296
288,-0.691437
290,-1.03716
292,-0.864296
294,-1.03716
296,-0.691437
298,-1.03716
300,-1.03716
302,-0.864296
304,-0.691437
