Time,Voltage
(ns),(mV)

0,-0.864296
2,-1.03716
4,-0.864296
6,-0.691437
8,-0.864296
10,-0.864296
12,-0.864296
14,-0.691437
16,-1.21001
18,-0.691437
20,-1.03716
22,-0.691437
24,-0.864296
26,-0.864296
28,-0.864296
30,-0.864296
32,-1.03716
34,-1.03716
36,-1.03716
38,-0.691437
40,-1.03716
42,-0.864296
44,-1.21001
46,-0.691437
48,-1.21001
50,-0.691437
52,-0.864296
54,-0.864296
56,-0.864296
58,-1.03716
60,-1.03716
62,-0.691437
64,-1.03716
66,-0.864296
68,-0.691437
70,-0.691437
72,-0.864296
74,-1.03716
76,-1.03716
78,-0.691437
80,-0.864296
82,-1.03716
84,-0.864296
86,-0.691437
88,-0.864296
90,-1.03716
92,-1.03716
94,-0.691437
96,-0.864296
98,-0.864296
100,-1.03716
102,-0.691437
104,-0.864296
106,-1.03716
108,-0.864296
110,-0.864296
112,-1.03716
114,-0.691437
116,-1.03716
118,-0.864296
120,-0.864296
122,-1.03716
124,-1.21001
126,-0.691437
128,-1.21001
130,-0.864296
132,-0.691437
134,-0.518578
136,-0.864296
138,-0.864296
140,-0.864296
142,-0.691437
144,-1.03716
146,-0.864296
148,-0.864296
150,-1.03716
152,-0.864296
154,-1.03716
156,-0.864296
158,-0.691437
160,-1.03716
162,-1.03716
164,-1.21001
166,-1.03716
168,-0.864296
170,-0.864296
172,-1.21001
174,-1.03716
176,-1.03716
178,-0.864296
180,-0.864296
182,-0.518578
184,-0.691437
186,-1.03716
188,-0.864296
190,-0.691437
192,-1.03716
194,-0.691437
196,-0.864296
198,-0.691437
200,-0.864296
202,-0.691437
204,-0.864296
206,-0.691437
208,-0.864296
210,-0.518578
212,-1.03716
214,-0.691437
216,-1.21001
218,-0.864296
220,-0.864296
222,-0.691437
224,-1.03716
226,-1.03716
228,-0.864296
230,-0.864296
232,-1.03716
234,-0.864296
236,-0.691437
238,-0.691437
240,-1.21001
242,-0.864296
244,-0.864296
246,-0.691437
248,-1.03716
250,-0.691437
252,-0.864296
254,-0.691437
256,-0.864296
258,-0.864296
260,-0.864296
262,-0.691437
264,-0.691437
266,-1.03716
268,-0.864296
270,-0.691437
272,-1.21001
274,-1.03716
276,-0.864296
278,-0.691437
280,-0.864296
282,-1.03716
284,-0.864296
286,-0.691437
288,-1.21001
290,-0.864296
292,-0.864296
294,-1.03716
296,-0.864296
298,-1.03716
300,-0.864296
302,-1.03716
304,-1.21001
