Time,Voltage
(ns),(mV)

0,-0.691437
2,-0.864296
4,-1.03716
6,-1.03716
8,-0.864296
10,-1.21001
12,-0.864296
14,-0.864296
16,-1.03716
18,-0.864296
20,-1.03716
22,-0.864296
24,-1.03716
26,-1.21001
28,-1.03716
30,-0.864296
32,-0.691437
34,-1.03716
36,-0.864296
38,-0.864296
40,-0.691437
42,-1.03716
44,-0.691437
46,-0.864296
48,-0.864296
50,-0.864296
52,-1.03716
54,-0.864296
56,-0.864296
58,-1.03716
60,-1.03716
62,-0.864296
64,-0.691437
66,-0.864296
68,-1.03716
70,-1.21001
72,-0.864296
74,-1.38287
76,-1.03716
78,-0.864296
80,-0.864296
82,-0.864296
84,-1.03716
86,-0.864296
88,-1.03716
90,-1.21001
92,-1.03716
94,-1.03716
96,-0.691437
98,-0.864296
100,-1.03716
102,-0.864296
104,-0.691437
106,-1.21001
108,-0.864296
110,-0.864296
112,-0.864296
114,-1.03716
116,-0.864296
118,-0.864296
120,-1.03716
122,-0.864296
124,-1.03716
126,-0.864296
128,-0.864296
130,-0.864296
132,-0.864296
134,-0.864296
136,-1.03716
138,-1.21001
140,-0.864296
142,-1.21001
144,-0.691437
146,-0.864296
148,-1.03716
150,-1.03716
152,-0.864296
154,-1.21001
156,-1.03716
158,-1.03716
160,-0.691437
162,-0.864296
164,-0.691437
166,-0.864296
168,-0.864296
170,-1.03716
172,-1.03716
174,-0.864296
176,-0.691437
178,-0.864296
180,-1.03716
182,-1.03716
184,-0.864296
186,-0.864296
188,-1.03716
190,-1.03716
192,-0.691437
194,-0.864296
196,-1.03716
198,-0.864296
200,-0.691437
202,-1.03716
204,-1.03716
206,-0.864296
208,-0.864296
210,-1.03716
212,-1.03716
214,-0.864296
216,-1.03716
218,-0.864296
220,-0.864296
222,-0.864296
224,-0.691437
226,-0.864296
228,-1.03716
230,-0.864296
232,-0.864296
234,-0.691437
236,-0.691437
238,-0.864296
240,-0.691437
242,-1.03716
244,-1.03716
246,-0.864296
248,-0.864296
250,-1.03716
252,-0.864296
254,-0.864296
256,-0.691437
258,-1.03716
260,-0.864296
262,-0.864296
264,-0.691437
266,-1.03716
268,-0.691437
270,-0.864296
272,-0.691437
274,-0.691437
276,-0.691437
278,-0.864296
280,-0.691437
282,-0.864296
284,-0.691437
286,-0.691437
288,-0.691437
290,-0.864296
292,-0.864296
294,-1.03716
296,-1.03716
298,-1.21001
300,-1.03716
302,-0.864296
304,-0.691437
